SSID,BSSID,Canal,Encriptación
CASA,6C:D8:19:A0:C0:28,2.427 GHz (Channel 4),on
Darwin,A0:08:6F:47:F8:F4,2.452 GHz (Channel 9),on
Sebastian,A4:00:E2:BA:B3:B4,2.452 GHz (Channel 9),on
WiFi_Mesh-052457,64:6E:60:34:E4:56,2.432 GHz (Channel 5),on
Margarita,6C:D8:19:65:06:00,2.437 GHz (Channel 6),on
Gutiuwu,18:56:44:61:F2:94,2.447 GHz (Channel 8),on
Facundo,58:AF:F1:F8:11:80,2.462 GHz (Channel 11),on
MARICEL,F4:70:ED:5A:92:F0,2.462 GHz (Channel 11),on
Maria,B8:5E:71:92:2F:49,2.462 GHz (Channel 11),on
EMMA,30:FB:B8:B8:86:F0,2.412 GHz (Channel 1),on
Mia,CC:B1:71:BE:BD:08,2.467 GHz (Channel 12),on
,56:F6:E2:21:AF:53,2.437 GHz (Channel 6),on
Estrelladesello 2.4g,F4:70:ED:61:2A:58,2.412 GHz (Channel 1),on
HiSmart-01-ca2c4fa22289,CA:2C:4F:A2:22:89,2.422 GHz (Channel 3),on
fh_fc6c10,58:AF:F1:FC:6C:10,2.437 GHz (Channel 6),on
Movistar,FC:12:63:44:CB:4F,2.412 GHz (Channel 1),on
JesusPG 2.4g,6C:A4:D1:8F:4E:30,2.412 GHz (Channel 1),on
HiSmart-01-ca2c4fa224d5,CA:2C:4F:A2:24:D5,2.422 GHz (Channel 3),on
Redmi Note 10 Pro,12:9B:89:3C:07:A0,2.412 GHz (Channel 1),on
Efra,D8:33:B7:27:5D:8E,2.412 GHz (Channel 1),on
Apocalypse,6C:A4:D1:B0:92:B0,2.462 GHz (Channel 11),on
